scenario,metric,n,mean,median,stdev,ci95_halfwidth,ci95_lower,ci95_upper
confidence_error,avg_formation_error,0,,,,,,
confidence_error,unnecessary_avoidance_count,0,,,,,,
confidence_error,missed_response_count,0,,,,,,
confidence_error,wrong_decisions,0,,,,,,
confidence_error,swarm_stability,0,,,,,,
confidence_error,rmse_position_error,0,,,,,,
confidence_error,velocity_estimation_error,0,,,,,,
confidence_error,track_continuity,0,,,,,,
confidence_error,track_fragmentation,0,,,,,,
confidence_error,false_track_count,0,,,,,,
confidence_error,missed_track_count,0,,,,,,
confidence_error,track_confirmation_time_steps,0,,,,,,
confidence_error,track_loss_duration_steps,0,,,,,,
confidence_error,association_error_count,0,,,,,,
confidence_error,average_covariance,0,,,,,,
confidence_error,fusion_consistency_error,0,,,,,,
confidence_error,messages_sent,0,,,,,,
confidence_error,messages_dropped,0,,,,,,
confidence_error,avg_message_delay_steps,0,,,,,,
confidence_error,communication_load,0,,,,,,
no_fusion_matched,collision_risk_count,0,,,,,,
no_fusion_matched,total_near_misses,0,,,,,,
no_fusion_matched,mission_success,0,,,,,,
no_fusion_matched,avg_response_time_s,0,,,,,,
no_fusion_matched,avg_formation_error,0,,,,,,
no_fusion_matched,unnecessary_avoidance_count,0,,,,,,
no_fusion_matched,missed_response_count,0,,,,,,
no_fusion_matched,wrong_decisions,0,,,,,,
no_fusion_matched,swarm_stability,0,,,,,,
no_fusion_matched,rmse_position_error,0,,,,,,
no_fusion_matched,velocity_estimation_error,0,,,,,,
no_fusion_matched,track_continuity,0,,,,,,
no_fusion_matched,track_fragmentation,0,,,,,,
no_fusion_matched,false_track_count,0,,,,,,
no_fusion_matched,missed_track_count,0,,,,,,
no_fusion_matched,track_confirmation_time_steps,0,,,,,,
no_fusion_matched,track_loss_duration_steps,0,,,,,,
no_fusion_matched,association_error_count,0,,,,,,
no_fusion_matched,average_covariance,0,,,,,,
no_fusion_matched,fusion_consistency_error,0,,,,,,
no_fusion_matched,messages_sent,0,,,,,,
no_fusion_matched,messages_dropped,0,,,,,,
no_fusion_matched,avg_message_delay_steps,0,,,,,,
no_fusion_matched,communication_load,0,,,,,,
naive_fusion,collision_risk_count,0,,,,,,
naive_fusion,total_near_misses,0,,,,,,
naive_fusion,mission_success,0,,,,,,
naive_fusion,avg_response_time_s,0,,,,,,
naive_fusion,avg_formation_error,0,,,,,,
naive_fusion,unnecessary_avoidance_count,0,,,,,,
naive_fusion,missed_response_count,0,,,,,,
naive_fusion,wrong_decisions,0,,,,,,
naive_fusion,swarm_stability,0,,,,,,
naive_fusion,rmse_position_error,0,,,,,,
naive_fusion,velocity_estimation_error,0,,,,,,
naive_fusion,track_continuity,0,,,,,,
naive_fusion,track_fragmentation,0,,,,,,
naive_fusion,false_track_count,0,,,,,,
naive_fusion,missed_track_count,0,,,,,,
naive_fusion,track_confirmation_time_steps,0,,,,,,
naive_fusion,track_loss_duration_steps,0,,,,,,
naive_fusion,association_error_count,0,,,,,,
naive_fusion,average_covariance,0,,,,,,
naive_fusion,fusion_consistency_error,0,,,,,,
naive_fusion,messages_sent,0,,,,,,
naive_fusion,messages_dropped,0,,,,,,
naive_fusion,avg_message_delay_steps,0,,,,,,
naive_fusion,communication_load,0,,,,,,
trust_weighted_fusion,collision_risk_count,0,,,,,,
trust_weighted_fusion,total_near_misses,0,,,,,,
trust_weighted_fusion,mission_success,0,,,,,,
trust_weighted_fusion,avg_response_time_s,0,,,,,,
trust_weighted_fusion,avg_formation_error,0,,,,,,
trust_weighted_fusion,unnecessary_avoidance_count,0,,,,,,
trust_weighted_fusion,missed_response_count,0,,,,,,
trust_weighted_fusion,wrong_decisions,0,,,,,,
trust_weighted_fusion,swarm_stability,0,,,,,,
trust_weighted_fusion,rmse_position_error,0,,,,,,
trust_weighted_fusion,velocity_estimation_error,0,,,,,,
trust_weighted_fusion,track_continuity,0,,,,,,
trust_weighted_fusion,track_fragmentation,0,,,,,,
trust_weighted_fusion,false_track_count,0,,,,,,
trust_weighted_fusion,missed_track_count,0,,,,,,
trust_weighted_fusion,track_confirmation_time_steps,0,,,,,,
trust_weighted_fusion,track_loss_duration_steps,0,,,,,,
trust_weighted_fusion,association_error_count,0,,,,,,
trust_weighted_fusion,average_covariance,0,,,,,,
trust_weighted_fusion,fusion_consistency_error,0,,,,,,
trust_weighted_fusion,messages_sent,0,,,,,,
trust_weighted_fusion,messages_dropped,0,,,,,,
trust_weighted_fusion,avg_message_delay_steps,0,,,,,,
trust_weighted_fusion,communication_load,0,,,,,,
one_uav_obstacle,collision_risk_count,0,,,,,,
one_uav_obstacle,total_near_misses,0,,,,,,
one_uav_obstacle,mission_success,0,,,,,,
one_uav_obstacle,avg_response_time_s,0,,,,,,
one_uav_obstacle,avg_formation_error,0,,,,,,
one_uav_obstacle,unnecessary_avoidance_count,0,,,,,,
one_uav_obstacle,missed_response_count,0,,,,,,
one_uav_obstacle,wrong_decisions,0,,,,,,
one_uav_obstacle,swarm_stability,0,,,,,,
one_uav_obstacle,rmse_position_error,0,,,,,,
one_uav_obstacle,velocity_estimation_error,0,,,,,,
one_uav_obstacle,track_continuity,0,,,,,,
one_uav_obstacle,track_fragmentation,0,,,,,,
one_uav_obstacle,false_track_count,0,,,,,,
one_uav_obstacle,missed_track_count,0,,,,,,
one_uav_obstacle,track_confirmation_time_steps,0,,,,,,
one_uav_obstacle,track_loss_duration_steps,0,,,,,,
one_uav_obstacle,association_error_count,0,,,,,,
one_uav_obstacle,average_covariance,0,,,,,,
one_uav_obstacle,fusion_consistency_error,0,,,,,,
one_uav_obstacle,messages_sent,0,,,,,,
one_uav_obstacle,messages_dropped,0,,,,,,
one_uav_obstacle,avg_message_delay_steps,0,,,,,,
one_uav_obstacle,communication_load,0,,,,,,
multiple_obstacles,collision_risk_count,0,,,,,,
multiple_obstacles,total_near_misses,0,,,,,,
multiple_obstacles,mission_success,0,,,,,,
multiple_obstacles,avg_response_time_s,0,,,,,,
multiple_obstacles,avg_formation_error,0,,,,,,
multiple_obstacles,unnecessary_avoidance_count,0,,,,,,
multiple_obstacles,missed_response_count,0,,,,,,
multiple_obstacles,wrong_decisions,0,,,,,,
multiple_obstacles,swarm_stability,0,,,,,,
multiple_obstacles,rmse_position_error,0,,,,,,
multiple_obstacles,velocity_estimation_error,0,,,,,,
multiple_obstacles,track_continuity,0,,,,,,
multiple_obstacles,track_fragmentation,0,,,,,,
multiple_obstacles,false_track_count,0,,,,,,
multiple_obstacles,missed_track_count,0,,,,,,
multiple_obstacles,track_confirmation_time_steps,0,,,,,,
multiple_obstacles,track_loss_duration_steps,0,,,,,,
multiple_obstacles,association_error_count,0,,,,,,
multiple_obstacles,average_covariance,0,,,,,,
multiple_obstacles,fusion_consistency_error,0,,,,,,
multiple_obstacles,messages_sent,0,,,,,,
multiple_obstacles,messages_dropped,0,,,,,,
multiple_obstacles,avg_message_delay_steps,0,,,,,,
multiple_obstacles,communication_load,0,,,,,,
two_crossing_targets,collision_risk_count,0,,,,,,
two_crossing_targets,total_near_misses,0,,,,,,
two_crossing_targets,mission_success,0,,,,,,
two_crossing_targets,avg_response_time_s,0,,,,,,
two_crossing_targets,avg_formation_error,0,,,,,,
two_crossing_targets,unnecessary_avoidance_count,0,,,,,,
two_crossing_targets,missed_response_count,0,,,,,,
two_crossing_targets,wrong_decisions,0,,,,,,
two_crossing_targets,swarm_stability,0,,,,,,
two_crossing_targets,rmse_position_error,0,,,,,,
two_crossing_targets,velocity_estimation_error,0,,,,,,
two_crossing_targets,track_continuity,0,,,,,,
two_crossing_targets,track_fragmentation,0,,,,,,
two_crossing_targets,false_track_count,0,,,,,,
two_crossing_targets,missed_track_count,0,,,,,,
two_crossing_targets,track_confirmation_time_steps,0,,,,,,
two_crossing_targets,track_loss_duration_steps,0,,,,,,
two_crossing_targets,association_error_count,0,,,,,,
two_crossing_targets,average_covariance,0,,,,,,
two_crossing_targets,fusion_consistency_error,0,,,,,,
two_crossing_targets,messages_sent,0,,,,,,
two_crossing_targets,messages_dropped,0,,,,,,
two_crossing_targets,avg_message_delay_steps,0,,,,,,
two_crossing_targets,communication_load,0,,,,,,
moving_obstacle_approaching_swarm,collision_risk_count,0,,,,,,
moving_obstacle_approaching_swarm,total_near_misses,0,,,,,,
moving_obstacle_approaching_swarm,mission_success,0,,,,,,
moving_obstacle_approaching_swarm,avg_response_time_s,0,,,,,,
moving_obstacle_approaching_swarm,avg_formation_error,0,,,,,,
moving_obstacle_approaching_swarm,unnecessary_avoidance_count,0,,,,,,
moving_obstacle_approaching_swarm,missed_response_count,0,,,,,,
moving_obstacle_approaching_swarm,wrong_decisions,0,,,,,,
