comparison_group,group_a,group_b,metric,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_value_normal_approx,significant_95
baseline_vs_scenario,baseline,safety_margin_covariance,rmse_position_error,20,20,0.6147,0.661,-0.0463,-9.3247,0.0,True
baseline_vs_scenario,baseline,safety_margin_confidence,collision_risk_count,20,20,0,0.15,-0.15,-1.3708,0.1704,False
baseline_vs_scenario,baseline,safety_margin_confidence,mission_success,20,20,1,0.8,0.2,2.1794,0.0293,True
baseline_vs_scenario,baseline,safety_margin_confidence,avg_response_time_s,20,20,0.0013,0.1046,-0.1033,-7.8072,0.0,True
baseline_vs_scenario,baseline,safety_margin_confidence,rmse_position_error,20,20,0.6147,0.6397,-0.0251,-4.0978,0.0,True
baseline_vs_scenario,baseline,safety_margin_quality_monitor,collision_risk_count,20,20,0,0.95,-0.95,-2.2979,0.0216,True
baseline_vs_scenario,baseline,safety_margin_quality_monitor,mission_success,20,20,1,0.2,0.8,8.7178,0.0,True
baseline_vs_scenario,baseline,safety_margin_quality_monitor,avg_response_time_s,20,20,0.0013,0.389,-0.3876,-14.0789,0.0,True
baseline_vs_scenario,baseline,safety_margin_quality_monitor,rmse_position_error,20,20,0.6147,0.6168,-0.0021,-0.4261,0.67,False
core_fusion_modes,no_fusion_matched,naive_fusion,collision_risk_count,20,20,0,0,0,0.0,1.0,False
core_fusion_modes,no_fusion_matched,naive_fusion,mission_success,20,20,1,1,0,0.0,1.0,False
core_fusion_modes,no_fusion_matched,naive_fusion,avg_response_time_s,20,20,0.0432,0.0432,0.0,0.0,1.0,False
core_fusion_modes,no_fusion_matched,naive_fusion,rmse_position_error,20,20,0.6253,0.6254,-0.0001,-0.0182,0.9855,False
core_fusion_modes,no_fusion_matched,trust_weighted_fusion,collision_risk_count,20,20,0,0,0,0.0,1.0,False
core_fusion_modes,no_fusion_matched,trust_weighted_fusion,mission_success,20,20,1,1,0,0.0,1.0,False
core_fusion_modes,no_fusion_matched,trust_weighted_fusion,avg_response_time_s,20,20,0.0432,0.0432,0.0,0.0,1.0,False
core_fusion_modes,no_fusion_matched,trust_weighted_fusion,rmse_position_error,20,20,0.6253,0.625,0.0002,0.0381,0.9696,False
core_fusion_modes,naive_fusion,trust_weighted_fusion,collision_risk_count,20,20,0,0,0,0.0,1.0,False
core_fusion_modes,naive_fusion,trust_weighted_fusion,mission_success,20,20,1,1,0,0.0,1.0,False
core_fusion_modes,naive_fusion,trust_weighted_fusion,avg_response_time_s,20,20,0.0432,0.0432,0.0,0.0,1.0,False
core_fusion_modes,naive_fusion,trust_weighted_fusion,rmse_position_error,20,20,0.6254,0.625,0.0004,0.0545,0.9565,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_confidence_weighted_fusion,collision_risk_count,20,20,0.3,0.65,-0.35,-0.6936,0.4879,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_confidence_weighted_fusion,mission_success,20,20,0.9,0.9,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_confidence_weighted_fusion,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_confidence_weighted_fusion,rmse_position_error,20,20,1.8265,1.8146,0.0119,0.9192,0.358,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_trust_weighted_fusion_fixed,collision_risk_count,20,20,0.3,0.8,-0.5,-0.8996,0.3684,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_trust_weighted_fusion_fixed,mission_success,20,20,0.9,0.8,0.1,0.8718,0.3833,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_trust_weighted_fusion_fixed,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_trust_weighted_fusion_fixed,rmse_position_error,20,20,1.8265,1.8064,0.0201,1.3475,0.1778,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_trust_weighted_fusion_dynamic,collision_risk_count,20,20,0.3,1.2,-0.9,-1.4967,0.1345,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_trust_weighted_fusion_dynamic,mission_success,20,20,0.9,0.8,0.1,0.8718,0.3833,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_trust_weighted_fusion_dynamic,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_trust_weighted_fusion_dynamic,rmse_position_error,20,20,1.8265,1.8045,0.022,1.565,0.1176,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_covariance_weighted_fusion,collision_risk_count,20,20,0.3,0.95,-0.65,-1.2019,0.2294,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_covariance_weighted_fusion,mission_success,20,20,0.9,0.8,0.1,0.8718,0.3833,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_covariance_weighted_fusion,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_naive_fusion,faulty_sensor_covariance_weighted_fusion,rmse_position_error,20,20,1.8265,1.8267,-0.0002,-0.0141,0.9887,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_trust_weighted_fusion_fixed,collision_risk_count,20,20,0.65,0.8,-0.15,-0.2169,0.8283,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_trust_weighted_fusion_fixed,mission_success,20,20,0.9,0.8,0.1,0.8718,0.3833,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_trust_weighted_fusion_fixed,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_trust_weighted_fusion_fixed,rmse_position_error,20,20,1.8146,1.8064,0.0082,0.5402,0.5891,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_trust_weighted_fusion_dynamic,collision_risk_count,20,20,0.65,1.2,-0.55,-0.7548,0.4504,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_trust_weighted_fusion_dynamic,mission_success,20,20,0.9,0.8,0.1,0.8718,0.3833,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_trust_weighted_fusion_dynamic,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_trust_weighted_fusion_dynamic,rmse_position_error,20,20,1.8146,1.8045,0.0101,0.7059,0.4803,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_covariance_weighted_fusion,collision_risk_count,20,20,0.65,0.95,-0.3,-0.4414,0.6589,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_covariance_weighted_fusion,mission_success,20,20,0.9,0.8,0.1,0.8718,0.3833,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_covariance_weighted_fusion,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_confidence_weighted_fusion,faulty_sensor_covariance_weighted_fusion,rmse_position_error,20,20,1.8146,1.8267,-0.0121,-0.9058,0.365,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_fixed,faulty_sensor_trust_weighted_fusion_dynamic,collision_risk_count,20,20,0.8,1.2,-0.4,-0.5229,0.6011,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_fixed,faulty_sensor_trust_weighted_fusion_dynamic,mission_success,20,20,0.8,0.8,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_fixed,faulty_sensor_trust_weighted_fusion_dynamic,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_fixed,faulty_sensor_trust_weighted_fusion_dynamic,rmse_position_error,20,20,1.8064,1.8045,0.0019,0.1194,0.905,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_fixed,faulty_sensor_covariance_weighted_fusion,collision_risk_count,20,20,0.8,0.95,-0.15,-0.2088,0.8346,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_fixed,faulty_sensor_covariance_weighted_fusion,mission_success,20,20,0.8,0.8,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_fixed,faulty_sensor_covariance_weighted_fusion,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_fixed,faulty_sensor_covariance_weighted_fusion,rmse_position_error,20,20,1.8064,1.8267,-0.0203,-1.3291,0.1838,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_dynamic,faulty_sensor_covariance_weighted_fusion,collision_risk_count,20,20,1.2,0.95,0.25,0.3315,0.7403,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_dynamic,faulty_sensor_covariance_weighted_fusion,mission_success,20,20,0.8,0.8,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_dynamic,faulty_sensor_covariance_weighted_fusion,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
faulty_sensor_fusion_modes,faulty_sensor_trust_weighted_fusion_dynamic,faulty_sensor_covariance_weighted_fusion,rmse_position_error,20,20,1.8045,1.8267,-0.0222,-1.5382,0.124,False
