comparison_group,group_a,group_b,metric,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_value_normal_approx,significant_95
baseline_vs_scenario,baseline,target_reappearing_after_dropout,collision_risk_count,20,20,0,4.05,-4.05,-4.597,0.0,True
baseline_vs_scenario,baseline,target_reappearing_after_dropout,mission_success,20,20,1,0.35,0.65,5.9402,0.0,True
baseline_vs_scenario,baseline,target_reappearing_after_dropout,avg_response_time_s,20,20,0.0013,0.0917,-0.0904,-1.8243,0.0681,False
baseline_vs_scenario,baseline,target_reappearing_after_dropout,rmse_position_error,20,0,,,,,,
baseline_vs_scenario,baseline,clutter_near_real_target,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,clutter_near_real_target,mission_success,20,20,1,0.75,0.25,2.5166,0.0118,True
baseline_vs_scenario,baseline,clutter_near_real_target,avg_response_time_s,20,20,0.0013,0.0019,-0.0006,-0.3651,0.715,False
baseline_vs_scenario,baseline,clutter_near_real_target,rmse_position_error,20,0,,,,,,
baseline_vs_scenario,baseline,closely_spaced_targets,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,closely_spaced_targets,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,closely_spaced_targets,avg_response_time_s,20,20,0.0013,0.0025,-0.0012,-0.8976,0.3694,False
baseline_vs_scenario,baseline,closely_spaced_targets,rmse_position_error,20,0,,,,,,
baseline_vs_scenario,baseline,env_clear,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,env_clear,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,env_clear,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,env_clear,rmse_position_error,20,20,0.6147,0.5795,0.0352,9.0883,0.0,True
baseline_vs_scenario,baseline,env_low_visibility,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,env_low_visibility,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,env_low_visibility,avg_response_time_s,20,20,0.0013,0.1164,-0.1152,-12.1101,0.0,True
baseline_vs_scenario,baseline,env_low_visibility,rmse_position_error,20,20,0.6147,0.6125,0.0022,0.3886,0.6975,False
baseline_vs_scenario,baseline,env_fog,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,env_fog,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,env_fog,avg_response_time_s,20,20,0.0013,0.379,-0.3777,-15.7467,0.0,True
baseline_vs_scenario,baseline,env_fog,rmse_position_error,20,20,0.6147,0.657,-0.0423,-6.8376,0.0,True
baseline_vs_scenario,baseline,env_heavy_clutter,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,env_heavy_clutter,mission_success,20,20,1,0,1,0.0,1.0,False
baseline_vs_scenario,baseline,env_heavy_clutter,avg_response_time_s,20,20,0.0013,0.0575,-0.0561,-13.8065,0.0,True
baseline_vs_scenario,baseline,env_heavy_clutter,rmse_position_error,20,20,0.6147,0.6538,-0.0391,-8.2151,0.0,True
baseline_vs_scenario,baseline,env_communication_delay,collision_risk_count,20,20,0,23.25,-23.25,-10.5153,0.0,True
baseline_vs_scenario,baseline,env_communication_delay,mission_success,20,20,1,0.05,0.95,19.0,0.0,True
baseline_vs_scenario,baseline,env_communication_delay,avg_response_time_s,20,20,0.0013,2.407,-2.4057,-719.7434,0.0,True
baseline_vs_scenario,baseline,env_communication_delay,rmse_position_error,20,20,0.6147,0.5538,0.0608,11.4917,0.0,True
baseline_vs_scenario,baseline,env_partial_sensor_failure,collision_risk_count,20,20,0,145.35,-145.35,-40.3433,0.0,True
baseline_vs_scenario,baseline,env_partial_sensor_failure,mission_success,20,20,1,0,1,0.0,1.0,False
baseline_vs_scenario,baseline,env_partial_sensor_failure,avg_response_time_s,20,20,0.0013,20.193,-20.1917,-16.1269,0.0,True
baseline_vs_scenario,baseline,env_partial_sensor_failure,rmse_position_error,20,17,0.6147,1.5704,-0.9557,-4.7449,0.0,True
