scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
false_positive,8,1.6,0,7.918,3.338,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,2,0,122.149,uav_2,10.822,False,False,False,False,False
false_positive,8,1.6,1,4.032,18.385,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,114.491,uav_3,12.657,False,False,False,False,False
false_positive,8,1.6,2,18.295,6.412,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,107.568,uav_0,10.822,False,False,False,False,False
false_positive,8,1.6,3,16.687,18.178,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,99.872,uav_2,11.876,False,False,False,False,False
false_positive,9,1.8,0,7.914,3.738,50.0,50.0,,,94.0,90.0,94.0,90.0,false_positive,avoidance,2,1,121.868,uav_2,11.106,False,False,False,False,False
false_positive,9,1.8,1,4.276,18.701,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,114.098,uav_3,12.608,False,False,False,False,False
false_positive,9,1.8,2,18.642,6.611,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,107.196,uav_0,11.106,False,False,False,False,False
false_positive,9,1.8,3,16.884,18.527,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,99.492,uav_2,12.045,False,False,False,False,False
false_positive,10,2.0,0,8.227,3.987,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,121.471,uav_2,11.127,False,False,False,False,False
false_positive,10,2.0,1,4.522,19.017,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,113.706,uav_3,12.56,False,False,False,False,False
false_positive,10,2.0,2,18.991,6.807,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,106.824,uav_0,11.127,False,False,False,False,False
false_positive,10,2.0,3,17.081,18.875,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,99.111,uav_2,12.218,False,False,False,False,False
false_positive,11,2.2,0,8.538,4.239,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,121.073,uav_2,11.149,False,False,False,False,False
false_positive,11,2.2,1,4.768,19.333,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,113.313,uav_3,12.489,False,False,False,False,False
false_positive,11,2.2,2,19.338,7.005,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,106.452,uav_0,11.149,False,False,False,False,False
false_positive,11,2.2,3,17.257,19.234,50.0,50.0,,,90.0,86.0,90.0,86.0,false_positive,avoidance,3,1,98.738,uav_2,12.405,False,False,False,False,False
false_positive,12,2.4,0,8.846,4.494,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,120.675,uav_2,11.173,False,False,False,False,False
false_positive,12,2.4,1,5.157,19.24,50.0,50.0,,,90.0,94.0,90.0,94.0,false_positive,avoidance,2,1,113.081,uav_3,12.305,False,False,False,False,False
