time_step,uav_id,uav_x,uav_y,true_target_x,true_target_y,true_target_vx,true_target_vy,radar_id,true_range,true_bearing,true_radial_velocity,measured_range,measured_bearing,measured_radial_velocity,detected_x,detected_y,radar_confidence,radar_snr,radar_track_id,track_status,false_alarm_flag,missed_detection_flag,clutter_flag,dropout_flag,latency_steps,fusion_mode,fused_x,fused_y,action_taken,collision_risk_flag,near_miss_flag,unnecessary_avoidance_flag,missed_response_flag,mission_success_flag,formation_error
7,3,17.3239,17.1999,50.0,50.0,0.0,0.0,3,46.6986,0.78704,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7536
8,0,7.6034,7.4864,50.0,50.0,0.0,0.0,0,60.4405,0.78661,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7354
8,1,7.637,17.4508,50.0,50.0,0.0,0.0,1,53.8218,0.65583,-1.9914,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7354
8,2,17.3079,7.7629,50.0,50.0,0.0,0.0,2,53.8108,0.91183,-1.9986,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7354
8,3,17.6143,17.4749,50.0,50.0,0.0,0.0,3,46.2988,0.78729,-1.9991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7354
9,0,7.8927,7.7627,50.0,50.0,0.0,0.0,0,60.0406,0.78678,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7173
9,1,7.9299,17.7231,50.0,50.0,0.0,0.0,1,53.4236,0.65514,-1.9912,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7173
9,2,17.5643,8.0699,50.0,50.0,0.0,0.0,2,53.4111,0.9121,-1.9986,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7173
9,3,17.9048,17.7499,50.0,50.0,0.0,0.0,3,45.8989,0.78755,-1.9991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7173
10,0,8.182,8.0389,50.0,50.0,0.0,0.0,0,59.6407,0.78694,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6993
10,1,8.2229,17.9954,50.0,50.0,0.0,0.0,1,53.0253,0.65443,-1.9911,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6993
10,2,17.8207,8.3769,50.0,50.0,0.0,0.0,2,53.0114,0.91238,-1.9986,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6993
10,3,18.1953,18.0249,50.0,50.0,0.0,0.0,3,45.4991,0.78781,-1.9991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6993
11,0,8.4712,8.3152,50.0,50.0,0.0,0.0,0,59.2409,0.78711,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6815
11,1,8.5159,18.2678,50.0,50.0,0.0,0.0,1,52.6271,0.65371,-1.991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6815
11,2,18.0771,8.6839,50.0,50.0,0.0,0.0,2,52.6117,0.91267,-1.9986,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6815
11,3,18.4858,18.2999,50.0,50.0,0.0,0.0,3,45.0993,0.78807,-1.9991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6815
12,0,8.7605,8.5915,50.0,50.0,0.0,0.0,0,58.841,0.78727,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6638
12,1,8.8089,18.5401,50.0,50.0,0.0,0.0,1,52.229,0.65299,-1.9908,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6638
12,2,18.3336,8.9909,50.0,50.0,0.0,0.0,2,52.212,0.91296,-1.9986,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6638
12,3,18.7763,18.5749,50.0,50.0,0.0,0.0,3,44.6995,0.78834,-1.9991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6638
13,0,9.0498,8.8677,50.0,50.0,0.0,0.0,0,58.4411,0.78744,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6462
13,1,9.1019,18.8124,50.0,50.0,0.0,0.0,1,51.8308,0.65225,-1.9907,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6462
13,2,18.59,9.2979,50.0,50.0,0.0,0.0,2,51.8122,0.91325,-1.9985,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6462
13,3,19.0668,18.8499,50.0,50.0,0.0,0.0,3,44.2997,0.78861,-1.9991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6462
14,0,9.339,9.144,50.0,50.0,0.0,0.0,0,58.0412,0.78762,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6288
