scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal
sensor_noise,510,102.0,0,96.333,84.808,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,1,0,5.692,8.153,52.951,uav_3,8.153,False,False,False,False,False
sensor_noise,510,102.0,1,79.789,85.389,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,13.357,8.423,41.258,uav_3,8.423,False,False,False,False,False
sensor_noise,510,102.0,2,84.624,98.293,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,8.406,13.267,54.423,uav_3,13.267,False,False,False,False,False
sensor_noise,510,102.0,3,88.211,85.52,90.0,86.0,50.0,50.0,,,none,,no_fusion,at_goal,0,0,1.852,8.153,47.17,uav_0,8.153,False,False,False,False,True
sensor_noise,511,102.2,0,96.381,85.205,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,1,0,5.354,8.177,53.229,uav_3,8.177,False,False,False,False,False
sensor_noise,511,102.2,1,79.788,84.989,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,13.619,8.44,40.952,uav_3,8.44,False,False,False,False,False
sensor_noise,511,102.2,2,84.226,98.256,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,8.445,13.345,54.162,uav_3,13.345,False,False,False,False,False
sensor_noise,511,102.2,3,88.211,85.52,90.0,86.0,50.0,50.0,,,none,,no_fusion,at_goal,0,0,1.852,8.177,47.17,uav_0,8.177,False,False,False,False,True
sensor_noise,512,102.4,0,96.462,85.597,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,1,0,5.045,8.251,53.531,uav_3,8.251,False,False,False,False,False
sensor_noise,512,102.4,1,79.994,84.647,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,13.696,8.263,40.827,uav_3,8.263,False,False,False,False,False
sensor_noise,512,102.4,2,83.854,98.109,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,8.388,13.322,53.827,uav_3,13.322,False,False,False,False,False
sensor_noise,512,102.4,3,88.211,85.52,90.0,86.0,50.0,50.0,,,none,,no_fusion,at_goal,0,0,1.852,8.251,47.17,uav_0,8.251,False,False,False,False,True
sensor_noise,513,102.6,0,96.51,85.994,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,1,0,4.727,8.313,53.811,uav_3,8.313,False,False,False,False,False
sensor_noise,513,102.6,1,80.088,84.258,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,13.898,8.22,40.595,uav_3,8.22,False,False,False,False,False
sensor_noise,513,102.6,2,83.726,97.73,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,8.057,13.007,53.443,uav_3,13.007,False,False,False,False,False
