scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
baseline,8,1.6,0,8.079,3.525,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,2,0,121.903,uav_2,10.617,False,False,False,False,False
baseline,8,1.6,1,3.947,18.372,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,114.563,uav_3,12.742,False,False,False,False,False
baseline,8,1.6,2,18.302,6.393,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,107.579,uav_0,10.617,False,False,False,False,False
baseline,8,1.6,3,16.687,18.179,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,99.873,uav_2,11.896,False,False,False,False,False
baseline,9,1.8,0,8.401,3.763,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,121.507,uav_2,10.631,False,False,False,False,False
baseline,9,1.8,1,4.192,18.688,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,114.17,uav_3,12.691,False,False,False,False,False
baseline,9,1.8,2,18.649,6.591,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,107.207,uav_0,10.631,False,False,False,False,False
baseline,9,1.8,3,16.883,18.527,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,99.492,uav_2,12.067,False,False,False,False,False
baseline,10,2.0,0,8.72,4.004,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,121.111,uav_2,10.647,False,False,False,False,False
baseline,10,2.0,1,4.439,19.002,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,113.777,uav_3,12.641,False,False,False,False,False
baseline,10,2.0,2,18.996,6.79,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,106.834,uav_0,10.647,False,False,False,False,False
baseline,10,2.0,3,17.08,18.875,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,99.111,uav_2,12.236,False,False,False,False,False
baseline,11,2.2,0,9.036,4.249,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,120.715,uav_2,10.664,False,False,False,False,False
baseline,11,2.2,1,4.687,19.316,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,113.384,uav_3,12.592,False,False,False,False,False
baseline,11,2.2,2,19.342,6.991,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,106.46,uav_0,10.664,False,False,False,False,False
baseline,11,2.2,3,17.279,19.223,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,98.73,uav_2,12.404,False,False,False,False,False
baseline,12,2.4,0,9.35,4.497,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,120.318,uav_2,10.683,False,False,False,False,False
baseline,12,2.4,1,4.936,19.63,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,112.991,uav_3,12.543,False,False,False,False,False
baseline,12,2.4,2,19.687,7.194,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,106.087,uav_0,10.683,False,False,False,False,False
baseline,12,2.4,3,17.479,19.569,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,98.348,uav_1,12.543,False,False,False,False,False
baseline,13,2.6,0,9.661,4.749,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,119.92,uav_2,10.703,False,False,False,False,False
baseline,13,2.6,1,5.186,19.942,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,112.597,uav_3,12.495,False,False,False,False,False
baseline,13,2.6,2,20.031,7.397,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,105.712,uav_0,10.703,False,False,False,False,False
baseline,13,2.6,3,17.68,19.914,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,97.967,uav_1,12.495,False,False,False,False,False
baseline,14,2.8,0,9.968,5.005,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,119.522,uav_2,10.726,False,False,False,False,False
baseline,14,2.8,1,5.436,20.254,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,112.203,uav_3,12.447,False,False,False,False,False
baseline,14,2.8,2,20.375,7.602,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,105.338,uav_0,10.726,False,False,False,False,False
baseline,14,2.8,3,17.883,20.259,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,97.584,uav_1,12.447,False,False,False,False,False
baseline,15,3.0,0,10.272,5.265,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,119.123,uav_2,10.75,False,False,False,False,False
baseline,15,3.0,1,5.688,20.565,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,111.809,uav_3,12.4,False,False,False,False,False
baseline,15,3.0,2,20.717,7.808,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,104.963,uav_0,10.75,False,False,False,False,False
baseline,15,3.0,3,18.088,20.603,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,97.202,uav_1,12.4,False,False,False,False,False
baseline,16,3.2,0,10.573,5.528,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,118.724,uav_2,10.777,False,False,False,False,False
baseline,16,3.2,1,5.941,20.875,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,111.415,uav_3,12.353,False,False,False,False,False
baseline,16,3.2,2,21.06,8.015,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,104.589,uav_0,10.777,False,False,False,False,False
baseline,16,3.2,3,18.293,20.946,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,96.819,uav_1,12.353,False,False,False,False,False
baseline,17,3.4,0,10.871,5.796,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,118.325,uav_2,10.807,False,False,False,False,False
baseline,17,3.4,1,6.194,21.184,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,111.021,uav_3,12.306,False,False,False,False,False
baseline,17,3.4,2,21.401,8.223,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,104.213,uav_0,10.807,False,False,False,False,False
baseline,17,3.4,3,18.5,21.288,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,96.436,uav_1,12.306,False,False,False,False,False
baseline,18,3.6,0,11.164,6.068,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,117.925,uav_2,10.839,False,False,False,False,False
baseline,18,3.6,1,6.449,21.492,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,110.626,uav_3,12.26,False,False,False,False,False
baseline,18,3.6,2,21.743,8.432,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,103.838,uav_0,10.839,False,False,False,False,False
baseline,18,3.6,3,18.708,21.63,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,96.052,uav_1,12.26,False,False,False,False,False
baseline,19,3.8,0,11.454,6.343,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,117.526,uav_2,10.875,False,False,False,False,False
baseline,19,3.8,1,6.705,21.8,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,110.231,uav_3,12.214,False,False,False,False,False
baseline,19,3.8,2,22.083,8.641,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,103.463,uav_0,10.875,False,False,False,False,False
baseline,19,3.8,3,18.918,21.971,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,95.668,uav_1,12.214,False,False,False,False,False
baseline,20,4.0,0,11.74,6.623,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,117.126,uav_2,10.914,False,False,False,False,False
baseline,20,4.0,1,6.962,22.106,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,109.836,uav_3,12.168,False,False,False,False,False
baseline,20,4.0,2,22.424,8.851,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,103.088,uav_0,10.914,False,False,False,False,False
baseline,20,4.0,3,19.129,22.311,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,95.284,uav_1,12.168,False,False,False,False,False
baseline,21,4.2,0,12.022,6.907,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,116.726,uav_2,10.956,False,False,False,False,False
baseline,21,4.2,1,7.221,22.412,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,109.441,uav_3,12.122,False,False,False,False,False
baseline,21,4.2,2,22.764,9.062,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,102.712,uav_0,10.956,False,False,False,False,False
baseline,21,4.2,3,19.341,22.65,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,94.9,uav_1,12.122,False,False,False,False,False
baseline,22,4.4,0,12.299,7.195,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,116.326,uav_2,11.002,False,False,False,False,False
baseline,22,4.4,1,7.48,22.716,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,109.046,uav_3,12.077,False,False,False,False,False
baseline,22,4.4,2,23.104,9.273,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,102.337,uav_0,11.002,False,False,False,False,False
baseline,22,4.4,3,19.554,22.988,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,94.515,uav_1,12.077,False,False,False,False,False
baseline,23,4.6,0,12.572,7.487,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,1,0,115.926,uav_2,11.053,False,False,False,False,False
baseline,23,4.6,1,7.741,23.019,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,1,0,108.65,uav_3,12.031,False,False,False,False,False
baseline,23,4.6,2,23.443,9.484,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,101.961,uav_0,11.053,False,False,False,False,False
