scenario,time_step,radar_id,track_id,est_x,est_y,est_vx,est_vy,confidence,age,missed_count,status
baseline,5,3,r3_t1,6.0186,6.0484,1.4812,2.5899,0.434,6,0,confirmed
baseline,5,3,r3_t2,6.2985,16.4101,2.6931,4.8119,0.601,6,0,confirmed
baseline,5,3,r3_t3,16.2126,6.1904,3.2241,0.8719,0.606,6,0,confirmed
baseline,6,0,r0_t1,6.6104,16.152,2.907,1.3185,0.601,7,0,confirmed
baseline,6,0,r0_t2,16.4308,6.5253,3.0013,2.4829,0.608,7,0,confirmed
baseline,6,0,r0_t3,16.9277,16.735,3.5945,3.6861,0.434,7,0,confirmed
baseline,6,1,r1_t1,6.1994,6.342,0.4991,1.6947,0.601,7,0,confirmed
baseline,6,1,r1_t2,15.7396,6.7543,1.8029,5.227,0.446,7,0,confirmed
baseline,6,1,r1_t3,16.1482,16.5809,1.2252,3.4213,0.601,7,0,confirmed
baseline,6,2,r2_t1,6.4541,6.4847,1.587,2.5152,0.608,7,0,confirmed
baseline,6,2,r2_t2,6.3073,16.8381,0.854,3.2457,0.446,7,0,confirmed
baseline,6,2,r2_t3,16.2572,16.3162,1.7106,2.1974,0.608,7,0,confirmed
baseline,6,3,r3_t1,6.3601,6.0765,2.1637,1.4122,0.434,7,0,confirmed
baseline,6,3,r3_t2,6.4209,16.4753,1.8566,2.6775,0.601,7,0,confirmed
baseline,6,3,r3_t3,16.4005,6.4394,2.3949,1.4734,0.608,7,0,confirmed
baseline,7,0,r0_t1,7.0809,16.5358,3.4139,2.2582,0.601,8,0,confirmed
baseline,7,0,r0_t2,16.2178,6.9915,0.6133,3.1836,0.609,8,0,confirmed
baseline,7,0,r0_t3,17.0195,17.2252,2.1798,3.8855,0.434,8,0,confirmed
baseline,7,1,r1_t1,6.5322,6.9233,1.6363,3.2692,0.601,8,0,confirmed
baseline,7,1,r1_t2,16.2664,6.9792,3.0965,3.5505,0.448,8,0,confirmed
baseline,7,1,r1_t3,16.7465,16.6724,3.1056,2.0918,0.601,8,0,confirmed
baseline,7,2,r2_t1,6.924,6.8414,2.7515,2.7442,0.609,8,0,confirmed
baseline,7,2,r2_t2,6.6521,16.296,1.8635,-0.636,0.448,8,0,confirmed
baseline,7,2,r2_t3,16.6185,16.3985,2.3604,1.4415,0.609,8,0,confirmed
baseline,7,3,r3_t1,6.9475,6.6091,3.5293,2.925,0.434,8,0,confirmed
baseline,7,3,r3_t2,6.802,16.6675,2.5163,2.1396,0.601,8,0,confirmed
baseline,7,3,r3_t3,16.9529,6.6054,3.4991,1.4282,0.609,8,0,confirmed
