scenario,fusion_mode,num_trials,mission_success_rate,mission_success_rate_ci95_lower,mission_success_rate_ci95_upper,collision_risk_count_mean,collision_risk_count_median,collision_risk_count_stdev,collision_risk_count_min,collision_risk_count_max,collision_risk_count_ci95_lower,collision_risk_count_ci95_upper,unnecessary_avoidance_count_mean,unnecessary_avoidance_count_median,unnecessary_avoidance_count_stdev,unnecessary_avoidance_count_min,unnecessary_avoidance_count_max,unnecessary_avoidance_count_ci95_lower,unnecessary_avoidance_count_ci95_upper,missed_response_count_mean,missed_response_count_median,missed_response_count_stdev,missed_response_count_min,missed_response_count_max,missed_response_count_ci95_lower,missed_response_count_ci95_upper,fusion_recovery_count_mean,fusion_recovery_count_median,fusion_recovery_count_stdev,fusion_recovery_count_min,fusion_recovery_count_max,fusion_recovery_count_ci95_lower,fusion_recovery_count_ci95_upper,avg_response_time_s_mean,avg_response_time_s_median,avg_response_time_s_stdev,avg_response_time_s_min,avg_response_time_s_max,avg_response_time_s_ci95_lower,avg_response_time_s_ci95_upper,total_near_misses_mean,total_near_misses_median,total_near_misses_stdev,total_near_misses_min,total_near_misses_max,total_near_misses_ci95_lower,total_near_misses_ci95_upper,avg_formation_error_mean,avg_formation_error_median,avg_formation_error_stdev,avg_formation_error_min,avg_formation_error_max,avg_formation_error_ci95_lower,avg_formation_error_ci95_upper,all_trials_passed,num_failed_trials
baseline,no_fusion,3,1.0,1.0,1.0,79,79,0.0,79,79,79,79,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
naive_fusion,naive_fusion,3,0.6667,0.0,1.0,75.6667,75,10.0167,66,86,50.7819,100.5514,0,0,0.0,0,0,0,0,7,8,2.6458,4,9,0.4271,13.5729,81,75,12.1655,73,95,50.7767,111.2233,0.0667,0.075,0.0382,0.025,0.1,-0.0282,0.1615,40.3333,41,9.0185,31,49,17.9283,62.7383,4.1807,4.243,0.2778,3.877,4.422,3.4905,4.8708,PASS,0
high_dropout,trust_weighted_fusion,3,0.0,0.0,0.0,226,234,37.6431,185,259,132.4819,319.5181,0,0,0.0,0,0,0,0,137.6667,149,24.0901,110,154,77.8187,197.5146,80.6667,89,16.1967,62,91,40.4286,120.9048,2.046,1.688,0.7428,1.55,2.9,0.2006,3.8914,96.6667,98,8.0829,88,104,76.586,116.7473,3.7407,3.876,0.9007,2.78,4.566,1.5031,5.9782,PASS,0
communication_outage,trust_weighted_fusion,3,0.0,0.0,0.0,73,70,7.0,68,81,55.6096,90.3904,0,0,0.0,0,0,0,0,7.6667,8,2.5166,5,10,1.4146,13.9188,80.3333,82,5.6862,74,85,66.2068,94.4599,0.0667,0.075,0.0382,0.025,0.1,-0.0282,0.1615,35,35,3.0,32,38,27.547,42.453,3.9513,3.925,0.0992,3.868,4.061,3.705,4.1977,PASS,0
