scenario,metric,n,mean,median,stdev,ci95_halfwidth,ci95_lower,ci95_upper
false_negative,velocity_rmse,20,0.117,0.1183,0.005,0.0022,0.1148,0.1192
false_negative,track_continuity,20,0.3258,0.3255,0.004,0.0018,0.3241,0.3276
false_negative,track_fragmentation,20,5.05,5.0,2.5021,1.0966,3.9534,6.1466
false_negative,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
false_negative,missed_detections,20,103.9,104.5,10.7747,4.7222,99.1778,108.6222
false_negative,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
false_negative,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
false_negative,track_confirmation_time_steps,20,3.7054,3.3,1.4693,0.644,3.0614,4.3493
false_negative,track_loss_duration_steps,20,1.3327,1.3487,0.0686,0.03,1.3027,1.3628
false_negative,average_track_lifetime_steps,20,50.9673,47.2223,13.6904,6.0001,44.9672,56.9674
false_negative,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
false_negative,average_covariance,20,4.3276,4.2928,0.9724,0.4262,3.9014,4.7538
false_negative,messages_sent,20,1898.1,1897.0,12.0608,5.2859,1892.8141,1903.3859
false_negative,messages_received,20,440.7,441.5,5.1718,2.2666,438.4334,442.9666
false_negative,messages_dropped,20,1457.4,1456.5,8.4567,3.7063,1453.6937,1461.1063
false_negative,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
false_negative,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
false_negative,communication_load,20,4.3073,4.3002,0.0329,0.0144,4.2929,4.3217
false_negative,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
false_negative,avg_recovery_time_steps,0,,,,,,
sensor_noise,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,total_near_misses,20,53,50.0,7.5672,3.3165,49.6835,56.3165
sensor_noise,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,minimum_separation,0,,,,,,
sensor_noise,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
sensor_noise,mission_completion_time_s,0,,,,,,
sensor_noise,avg_response_time_s,20,0.0013,0.0,0.004,0.0018,-0.0005,0.0031
sensor_noise,formation_error_rmse,20,4.5556,4.6957,0.2719,0.1192,4.4364,4.6748
sensor_noise,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,missed_response_count,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,wrong_decisions,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,swarm_stability,20,1.2287,1.347,0.242,0.1061,1.1226,1.3347
sensor_noise,rmse_position_error,20,0.6249,0.6248,0.0097,0.0042,0.6206,0.6291
sensor_noise,velocity_rmse,20,0.1153,0.1155,0.0033,0.0015,0.1139,0.1168
sensor_noise,track_continuity,20,0.3305,0.3316,0.0039,0.0017,0.3288,0.3322
sensor_noise,track_fragmentation,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,missed_detections,20,0.9,1.0,0.7881,0.3454,0.5546,1.2454
sensor_noise,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
sensor_noise,track_confirmation_time_steps,20,2.075,2.0,0.2308,0.1012,1.9738,2.1762
sensor_noise,track_loss_duration_steps,14,1,1.0,0.0,0.0,1.0,1.0
sensor_noise,average_track_lifetime_steps,20,109.35,109.875,1.6611,0.728,108.622,110.078
sensor_noise,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
