scenario,step,time_s,uav_id,x,y,num_perceived_detections,num_phantom_detections,dist_to_target,reached_goal,event
baseline,22,4.4,1,7.221,22.412,1,0,109.441,False,avoidance
baseline,22,4.4,2,22.764,9.062,2,0,102.712,False,avoidance
baseline,22,4.4,3,19.341,22.65,2,0,94.9,False,avoidance
baseline,23,4.6,0,12.299,7.195,1,0,116.326,False,avoidance
baseline,23,4.6,1,7.48,22.716,1,0,109.046,False,avoidance
baseline,23,4.6,2,23.104,9.273,2,0,102.337,False,avoidance
baseline,23,4.6,3,19.554,22.988,2,0,94.515,False,avoidance
baseline,24,4.8,0,12.572,7.487,1,0,115.926,False,avoidance
baseline,24,4.8,1,7.741,23.019,1,0,108.65,False,avoidance
baseline,24,4.8,2,23.443,9.484,2,0,101.961,False,avoidance
baseline,24,4.8,3,19.768,23.326,2,0,94.13,False,avoidance
baseline,25,5.0,0,12.841,7.783,1,0,115.526,False,avoidance
baseline,25,5.0,1,8.003,23.322,1,0,108.254,False,avoidance
baseline,25,5.0,2,23.783,9.696,2,0,101.586,False,avoidance
baseline,25,5.0,3,19.983,23.663,2,0,93.745,False,avoidance
baseline,26,5.2,0,13.106,8.084,1,0,115.127,False,avoidance
baseline,26,5.2,1,8.266,23.623,1,0,107.858,False,avoidance
baseline,26,5.2,2,24.122,9.908,2,0,101.211,False,avoidance
baseline,26,5.2,3,20.2,24.0,2,0,93.36,False,avoidance
baseline,27,5.4,0,13.365,8.388,1,0,114.728,False,avoidance
baseline,27,5.4,1,8.53,23.923,1,0,107.462,False,avoidance
baseline,27,5.4,2,24.461,10.12,2,0,100.836,False,avoidance
baseline,27,5.4,3,20.417,24.335,2,0,92.975,False,avoidance
baseline,28,5.6,0,13.621,8.695,1,0,114.329,False,avoidance
baseline,28,5.6,1,8.796,24.222,1,0,107.066,False,avoidance
baseline,28,5.6,2,24.8,10.332,2,0,100.461,False,avoidance
baseline,28,5.6,3,20.636,24.67,2,0,92.589,False,avoidance
baseline,29,5.8,0,13.872,9.007,1,0,113.932,False,avoidance
baseline,29,5.8,1,9.064,24.519,1,0,106.669,False,avoidance
baseline,29,5.8,2,25.139,10.544,1,0,100.086,False,avoidance
baseline,29,5.8,3,20.855,25.005,1,0,92.203,False,avoidance
baseline,30,6.0,0,14.119,9.322,1,0,113.534,False,avoidance
baseline,30,6.0,1,9.332,24.816,1,0,106.272,False,avoidance
baseline,30,6.0,2,25.406,10.843,1,0,99.687,False,avoidance
baseline,30,6.0,3,21.164,25.259,1,0,91.803,False,avoidance
