num_uavs,runtime_s,communication_load_messages,fusion_update_time_ms_per_call,number_of_tracks,collision_risk_mean,formation_error_mean,mission_success_rate,centralized_fusion_bottleneck_ms_total,distributed_fusion_consistency_std
3,0.868,339.5,0.0849,9.0,0.0,2.668,1.0,33.116,0.1911
5,4.589,554.5,0.1431,27.5,0.0,4.167,0.0,85.83,0.2516
10,29.385,1321.5,0.3691,130.0,0.0,5.584,0.0,221.49,0.269
20,140.394,3108.0,0.6161,692.0,0.0,9.317,0.0,369.66,0.2933
