ablation,scenario,trial,seed,fusion_mode,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,collision_risk_count,missed_response_count,fusion_recovery_count,mission_success,avg_response_time_s,avg_formation_error
no_radar_tracking,one_uav_obstacle,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,one_uav_obstacle,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,one_uav_obstacle,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,one_uav_obstacle,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,multiple_obstacles,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,multiple_obstacles,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,multiple_obstacles,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,multiple_obstacles,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,multiple_obstacles,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,two_crossing_targets,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,two_crossing_targets,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,two_crossing_targets,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,two_crossing_targets,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,two_crossing_targets,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,moving_obstacle_approaching_swarm,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,305,0,0,Yes,0.0,3.071
no_radar_tracking,moving_obstacle_approaching_swarm,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,305,0,0,Yes,0.0,3.071
no_radar_tracking,moving_obstacle_approaching_swarm,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,305,0,0,Yes,0.0,3.071
no_radar_tracking,moving_obstacle_approaching_swarm,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,305,0,0,Yes,0.0,3.071
no_radar_tracking,moving_obstacle_approaching_swarm,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,305,0,0,Yes,0.0,3.071
no_radar_tracking,target_temporarily_lost,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,169,0,0,Yes,0.0,3.065
no_radar_tracking,target_temporarily_lost,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,169,0,0,Yes,0.0,3.065
no_radar_tracking,target_temporarily_lost,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,169,0,0,Yes,0.0,3.065
no_radar_tracking,target_temporarily_lost,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,169,0,0,Yes,0.0,3.065
no_radar_tracking,target_temporarily_lost,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,169,0,0,Yes,0.0,3.065
no_radar_tracking,target_reappearing_after_dropout,1,42,no_fusion,0.0,0.0,0.0,0,0.03,0.0,120,7,0,No,0.0,3.089
no_radar_tracking,target_reappearing_after_dropout,2,43,no_fusion,0.0,0.0,0.0,0,0.03,0.0,148,28,0,No,0.0,3.055
no_radar_tracking,target_reappearing_after_dropout,3,44,no_fusion,0.0,0.0,0.0,0,0.03,0.0,96,5,0,Yes,0.6,3.004
no_radar_tracking,target_reappearing_after_dropout,4,45,no_fusion,0.0,0.0,0.0,0,0.03,0.0,106,12,0,Yes,0.6,3.078
no_radar_tracking,target_reappearing_after_dropout,5,46,no_fusion,0.0,0.0,0.0,0,0.03,0.0,193,17,0,Yes,0.0,2.958
no_radar_tracking,clutter_near_real_target,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,100,0,0,Yes,0.0,3.404
no_radar_tracking,clutter_near_real_target,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,100,0,0,Yes,0.0,3.404
no_radar_tracking,clutter_near_real_target,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,100,0,0,Yes,0.0,3.404
no_radar_tracking,clutter_near_real_target,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,100,0,0,Yes,0.0,3.404
no_radar_tracking,clutter_near_real_target,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,100,0,0,Yes,0.0,3.404
no_radar_tracking,closely_spaced_targets,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,215,0,0,Yes,0.0,4.013
no_radar_tracking,closely_spaced_targets,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,215,0,0,Yes,0.0,4.013
no_radar_tracking,closely_spaced_targets,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,215,0,0,Yes,0.0,4.013
no_radar_tracking,closely_spaced_targets,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,215,0,0,Yes,0.0,4.013
